,phrase,intents
235,we already have the equipment as we were prior customers the problem is your service is too expensive compared to other services,"['existing_system', 'cost_too_high']"
236,organization1 i cannot agree to a contract especially for the monitoring fee that your company requires,"['about_contract', 'no_monitoring']"
237,i'm pretty sure i'm just going to set up my own home security system using master ring they seem to be getting better and more proficient and organization1 has a way for me to trade that stuff in most of them have people detection now so they're not going to give me a bunch of false warnings and i don't really need somebody to monitor my system for me as i'm capable of doing that everything alerts my phone or my hub and my you know i have other people i can connect other people to it it just doesn't seem like it's worth paying a premium i just point in time plus i get to control my thermostat from far away and that's every dad's dream,"['cost_too_high', 'no_monitoring', 'chose_competitor']"
238,stop contacting me the house i'm buying already has vivint and i told the last rep that i plan to use it once i'm moved in,"['dnc', 'existing_system']"
239,hi name1 i promised i would reach out when we could be ready for an alarm system and we just purchased a new home but won't settle until date1 i would like to connect to get an estimate as soon as we get in the house next month hoping we can take advantage of the free installation thanks in advance name2,"['greeting', 'promo_info', 'new_home', 'courtesy_or_statement']"
240,sorry i was flirting with you lol honestly i'm not interested in security system anymore i mean that is unless there's a on the low discount i could work for lol dang it i'll stop now,"['cost_demand', 'not_interested', 'apology']"
241,no i'm workingi can't afford the equipment my credit is not good enoughso not going to be able to do it,"['needs_income', 'delay_work', 'not_interested', 'credit_denied']"
242,thank you but i can't do 180000 for a system at this time maybe later i don't want to be tied into a 5 yr plan at 9000 a month please remove me,"['future_interest', 'dnc', 'needs_income']"
243,yes but they is telling me i'll pay money1 for services i'm not about to pay anything in that range,"['confirmation', 'cost_too_high']"
244,i understand that i just need to know the price of the window alarms and i need a picture of them please,"['confirmation', 'send_info', 'specific_equipment_cost']"
245,i have asked three times now if you all would stop we are now not interested please stop calling and texting now,"['dnc', 'not_interested']"
246,i already spoke with one of your sells representatives and you prices didn't meet my budget so what are you talking about,"['transfer_success', 'cost_too_high']"
247,they told me the best deal was money1 a month or more i don't have that so please take me off your list,"['dnc', 'cost_too_high']"
248,hi name1 yes i am still interested in setting up the security system what is the best number and time to reach you,"['confirmation', 'agent_contact_info', 'greeting', 'is_interested']"
249,not interested right now i am looking at a company where equipment is free as is install thanks anyways,"['future_interest', 'cost_demand']"
250,please don't contact me anymore i'm still thinking about it and will contact you if interested thank you,"['dnc', 'not_interested']"
251,i would love to have a system but the down payment was the problem i need something were i don't have to pay anything up front if you got anything like that let me know blue eyes,"['cost_demand', 'promo_info']"
252,your equipment fees upfront are way too much we are being offered that free from others s our att lapses,"['cost_demand', 'cost_too_high']"
253,i just want to know the monthly fee the free installation and is the equipment included in free installation text me and i will answer,"['promo_info', 'text_only', 'what_does_it_cost']"
254,name1 i have to wait since i am in the hospital now and it is going to cost me a bundle i will get back to you when i get money again be safe name2,"['courtesy_or_statement', 'delay_conditional', 'delay_finances', 'delay_sick']"
255,hi i am not going forward with drug1 at this time please remove me from the contact list thank you,"['dnc', 'not_interested']"
256,all i want is the front door camera with my existing panel take over if you can do it for less than money1 we can talk,"['cost_demand', 'specific_equipment_cost']"
257,i have already talked with name1 please stop calling and texting if i decide i want this i will call,"['future_interest', 'dnc', 'transfer_success']"
258,hi name1 ive talked to a couple sales reps i am also getting a couple quotes from other companies to compare i do see vivint has a more expensive monthly charge but so far the camera looks superior,"['transfer_success', 'greeting']"
259,i am no longer interested i have gone with a different company can you please remove my contact information from the call list,"['dnc', 'not_interested', 'chose_competitor']"
260,hello name1 not at this time we're in the process of trying to sell our house and buy a new one thank you though,"['future_interest', 'greeting']"
261,i'm good thank you i feel the price point is a little high to me for equipment and i can't guarantee myself to that sort of commitment,"['not_interested', 'needs_income']"
262,it's 29 and if i can get that price i can speak with someone at 4pm if it can't be that price however there is no need for the call,"['cost_demand', 'schedule_call_day_n_time']"
263,name1 i appreciate your reaching out i recently discovered that my current contract with organization1 is not up until date1 so while i am not satisfied with the service level i currently get i don't need the added cost of termination fees when i switch please feel free to reach back out to me after december,"['courtesy_or_statement', 'future_interest', 'in_contract']"
264,hi can you give me a quote for only internal external cameras and door bell also do you have wireless indoor cameras,"['specific_equipment_cost', 'send_quote']"
265,hi name1 i can't afford it my husband passed so i'm limited on monthly expenses i'm ok m disability so i'm very limited on my budget thank you name2,"['greeting', 'needs_income']"
266,right but do you charge for the equipment that is being installed i thought i saw it was a few of money1 for the cameras and other things,"['specific_equipment_cost', 'what_does_it_cost']"
267,please take me off your list i've had many people from your company contact me instead of just dealing with one person so i'm not interested,"['dnc', 'not_interested', 'excessive_contact']"
268,how do i take advantage of this offer and how much would it cost for setup and how much monthly for the service ,"['free_install', 'what_does_it_cost']"
269,i currently have a system and was just looking at options but the equipment price is above my retired income at this time,"['existing_system', 'cost_too_high']"
270,i answered but didn't hear anything i'm looking to get a doorbell camera camera fir back yard camera over garage door chime that lets you know the door is being open and a panel screen and mobile app,"['specific_equipment_cost', 'system_error']"
271,hello i am not in a home yet when i get a place i would then want cc asecurity i was inquiring not ready to purchase thank you,"['future_interest', 'courtesy_or_statement']"
272,thank you all for your endless persistence and calling and texting me lol we are building a home in location1 that will be a second home i am investigating security systems cameras etc so first of all location2 area you serve,"['delay_evaluating', 'excessive_contact', 'new_home']"
273,what is the best deal that i can get i already have a security system that is cheaper i initially than vivint,"['promo_info', 'chose_competitor']"
274,good morning what is my total cost i need on motion sensor 18 contact windowdoor sensors and 1 smokecarbon detector if you have a nature gas sensor that will also be needed i will like to have remote access from my smart phone also need monthly fees thank you,"['courtesy_or_statement', 'specific_equipment_cost', 'greeting', 'what_does_it_cost']"
275,i am still working on it the appraiser was just at the house yesterday so i am hopeful that it will be next month for move in date,"['delay_evaluating', 'delay_new_house']"
276,i don't think i'm interested anymore i can't afford the monthly payments i'm looking just for some security cameras not a whole alarm system thanks anyways,"['specific_equipment_cost', 'not_interested', 'needs_income']"
277,when i recently talked to a vivint agent all i want it's the panel and 4 cameras i was quoted almost 3000,"['specific_equipment_cost', 'transfer_success']"
278,good morning this is not name1 could you please do me favor please remove my number on your do not call or text list thank you,"['confirmation', 'wrong_number', 'dnc', 'greeting']"
279,im so sorry i haven't got back to u the streets are crazy no i dont need assistance thanks throw im a k9 handler but i really got to get back to u ok im sorry things are taking so long,"['delay_will_reply', 'not_interested', 'apology']"
280,i have a question i was reading that you can make monthly payments for the equipment i'm going over pricing and it seems like you guys are the most expensive,"['about_contract', 'what_does_it_cost']"
281,i am interested in the system you are offering i do not have a home at this time but i'm willing to try it once i have a home,"['future_interest', 'is_interested']"
282,can you just tell me how much it is and how long thr contract is for i when the nect availibke appointment is and ill sign up,"['about_contract', 'agent_contact_info', 'what_does_it_cost']"
283,i do have a question i am curious i am interested in a camera system for my home estimate what are your rates,"['what_does_it_cost', 'is_interested']"
284,not interested please stop contacting me and tell everyone else that is part of organization1 to stop i have a security system already,"['dnc', 'not_interested', 'has_product']"
285,i got an offer for free installation and someone called me a week ago i am not interested however in having a contract and do not want to pay money1 a month for the first five years,"['promo_info', 'transfer_success', 'cost_too_high']"
286,hello name1 i am available for a call now if this isn't a good time then we can talk tomorrow morning at time1,"['greeting', 'call_now']"
287,so i decided to wait after the closing i jave your info and i will contact you directly to work with thanks,"['confirmation', 'delay_conditional']"
288,i pay money1 a month 2 indoor cameras 1 outdoor camera door bell camera 10 sensors smokecarbon monoxide detector i spoke to your occupation1 and the best he could do was money2 month for 5 years then money3 after,"['cost_demand', 'specific_equipment_cost']"
289,what do you mean what do i mean i asked for a quote and got a call i asked what the price for me to outright by the equipment and i got a call and it was way high compared to other companies thank you,"['misunderstood', 'cost_too_high']"
290,hello i have been on vacation in location1 sorry that i have missed your calls i will be back to location2 tomorrow,"['greeting', 'apology']"
291,i have no idea how you got my number but i was never interested please get my number out of your system,"['dnc', 'not_interested']"
292,yeah i found a company that is actually 10x cheaper with no monthly payments and all equipment is just 4900 can you do better then that no didn't think so,"['cost_demand', 'chose_competitor']"
293,i also get a deal thru my employer benefits would the free install be included my discount code is password1 and password2,"['cost_demand', 'free_install']"
294,like i said they will give us the equipment for free with a 2 year contract and have to have the sign showing for 2 years all for 53 a month,"['cost_demand', 'promo_info']"
295,i want a general quote please i want to have security cameras around the outside of my house and potentially am alarm system how much will that cost,"['send_quote', 'home_specifications', 'what_does_it_cost']"
296,you are not affordable for a small house resident like me i am getting a much cheaper deal 1 video door bell 1 outdoor camera 2 door sensor 10 window sensor 2 indoor camera 1 broken glass 2 move sensor all this for one time payment of 400 + 25 monthly no contract yours is way too higher than this so please spare me from your list,"['dnc', 'specific_equipment_cost', 'cost_too_high']"
297,this is not name1 and there is no one here with that name please stop calling me and texting me,"['dnc', 'wrong_number']"
298,ok so do i need to get online and look at the pricing first and then call because i don't know any pricing at all and what would be the best equipment we've had your services before and i want the same thing we had,"['confirmation', 'is_interested']"
299,hello name1 we're no longer interested in this service as my cousin has paid to have a home security installation done for my fathers home stop,"['has_product', 'dnc', 'greeting', 'not_interested']"
300,no thanks the previous gentleman informed me that i had two options one for 100000 and the other 20000 with a monitor fee of 49 to 54 dollars i can go with the ring instead,"['transfer_success', 'not_interested', 'chose_competitor']"
301,i will let you know if and when i am interested in proceeding please no more follow up texts or emails thank you,"['future_interest', 'dnc']"
302,name1 can you beat 218 for up to 3 door sensors a tablet a motion sensor and a doorbell camera,"['cost_demand', 'specific_equipment_cost']"
303,i didn't get approve for financing i already been through this not running my credit again if i know i won't be approve thanks anyways,"['courtesy_or_statement', 'not_interested', 'credit_denied']"
304,i don't think i'm still interested i don't believe that the system will work with my current cameras and doorbells thank you,"['existing_system', 'not_interested']"
305,hi name1 what specials do you have running currently for vivint needing a quote when you have a moment,"['promo_info', 'greeting', 'send_quote']"
306,hello name1 i haven't been able to get back to you because we had death in my family and i been out of town i will try to reach you on wednesday the15th,"['delay_funeral', 'schedule_call_day_n_time', 'greeting']"
307,i have lots of time still working on completing the house it's cool that we live in a great neighborhood for note at least,"['courtesy_or_statement', 'new_home', 'call_now']"
308,hi there i cannot talk now but my husband is home this week if you would like to call him phonenumber1,"['greeting', 'info_for_someone_else']"
309,i was told that the cost is money1 a month for the first five years and that it goes down to money2 afterwards,"['transfer_success', 'what_does_it_cost']"
310,if you have a deal that includes no payment for the first month i will take it otherwise i can't do it at this time,"['cost_demand', 'future_interest']"
311,name1 i spoke with one of your representatives earlier this week i feel that your prices are extremely high and as a result i am no longer interested please remove my information,"['dnc', 'transfer_success', 'cost_too_high', 'not_interested']"
312,thank you i will be reaching out in case i need help my apologies for not answering calls i have name1 extremely busy at work,"['confirmation', 'delay_conditional', 'apology']"
313,i've tried to go through you guys twice because of my credit score are you guys want me to pay 2500 for the equipment up front i am not interested,"['not_interested', 'cost_too_high']"
314,i do not need until next month i will get back with you then what are the prices i do not want to be under a contract,"['about_contract', 'delay_will_reply', 'what_does_it_cost']"
315,sorry i couldn't answer your call around time1 would be the best time for me to chat about the security system,"['schedule_call_day_n_time', 'apology']"
316,still at work still waiting on official close date for our new place will know more by monday next week,"['delay_conditional', 'delay_work']"
317,hello we have not yet closed on our new house so when i talked to the salesperson before he suggested waiting until we took occupancy as we are still deciding if we will get a security system or not please checkin in mid november,"['future_interest', 'transfer_success', 'greeting', 'delay_evaluating', 'delay_new_house']"
318,i spoke to several people that called me already i have a contract for 2 more years with organization1 someone came by about a year ago saying vivint can cover up to money1 but they couldn't help me with that over the phone,"['cost_demand', 'in_contract']"
319,please stop calling me and texting me when i was interested in your services the person i was on the phone with was not interested in helping me,"['dnc', 'negative_call_center_experience']"
320,please stop calling me i didn't opt for your service because of the harassing phone calls take me off your list i am no longer interested,"['dnc', 'not_interested']"
321,hey i am very much so interested in getting the service but the 210 down payment that you are asking is just not a good time because i got to much going on the holidays and its just me doing everything thats just a little steep for me at this time,"['needs_income', 'is_interested']"
322,i'm curious about the upfront vs the monthly am i required to purchase the equipment vs having a subscription ,"['about_contract', 'buy_equipment']"
323,i was previously told the only way to tell if the old system was too old was to activate is there a way to find out if the system works without paying for activation,"['existing_system', 'transfer_success']"
324,yes name1 but monthly the guy i talk to is little high for me so that's why i was not responding if you can give me monthly charges less then he give me with door bell and 2 cameras then i may be think about it,"['cost_demand', 'confirmation', 'cost_too_high']"
325,thank you name1 i'm currently looking for a better system than what i have with adt if you can give me a call at phonenumber1 tomorrow afternoon sometime this would be great thank you name2 ps if by chance i don't answer leave me a message and i will return your phone call,"['is_interested', 'delay_will_reply', 'schedule_call_day_n_time', 'courtesy_or_statement']"
326,i already have cameras installed that i installed and monitor myself so i am not interested at your price,"['not_interested', 'cost_too_high', 'has_product']"
327,hello name1 sorry to inform you but i am not interested in going with vivint anymore when i was talking to one of the guys about what i wanted which was the panel and 3 to 4 cameras i was quoted almost 3000 thats ridiculous i'm with adt and i would have to pay and arm and leg for just 3 cameras being around 600 for all three how it world would i have to pay that much with vivint it would be cheaper for me to run my own security system either closed network or wifi and encrypt it for less then 300 so what about vivint makes it worth 3000 in no way am i trying to be rude towards you or your company i'm just curious,"['transfer_success', 'greeting', 'cost_too_high', 'not_interested']"
328,hi name1 can we talk tomorrow we are in the process of buying a new home waiting to make sure we are moving forward,"['schedule_call_day_n_time', 'greeting', 'delay_new_house']"
329,i got a quote already i'm not interested in spending that amount they quoted or anything close to it,"['transfer_success', 'cost_too_high']"
330,thanks but the last time i called it was just more expensive that what i pay right now and had to sign a 5 year contract keep my old equipment and pay more thanks but not interested,"['not_interested', 'cost_too_high']"
331,good morning we decided to go another route for security your system was a bit more than we wanted to pay but thank you,"['greeting', 'cost_too_high', 'chose_competitor']"
332,i have told your company 4 times now that i am not interested and that i am going with another company stop contacting me,"['dnc', 'not_interested']"
333,please do not contact me again when i am ready i will reach out as i have mentioned previously i am in the hospital please remove me from your list,"['future_interest', 'dnc', 'delay_sick']"
334,name1 gave me 103 per month quote i think that's too expensive comparing to the typical 15 per month ring service,"['transfer_success', 'cost_too_high']"
335,i am not ready to take on anything else right now i am very much interested in a home system but i just can't afford it right now it's not in my budget maybe later on i hope thank you for contacting me i really appreciate it but i am going to keep this company in mind if i ever can afford it in my budget,"['courtesy_or_statement', 'is_interested', 'delay_finances']"
336,name1 i have decided to go with a different home security system i was not able to do anything close to 95month at this time,"['needs_income', 'chose_competitor']"
337,iam no longer interested i didn't know you would constantly call like this this is to much just to sell a security doorbell no thank you,"['not_interested', 'excessive_contact']"
338,ok thank you have a nice day merry christmas and happy holiday i'll have to pass at this time thank you so much,"['courtesy_or_statement', 'confirmation', 'future_interest']"
339,i'm not interested right now please stop calling and texting me if i want to contact you i will do so thank you,"['dnc', 'not_interested']"
340,please stop calling stop texting i will not use your company as your monthly payment is too high and i don't want to be on a threeyear contract so please remove my phone number from your contact list thank you,"['dnc', 'cost_too_high']"
341,hi i can't right now because i'm at work but i should be on lunch between 1 and 2 today would that be ok,"['schedule_call_day_n_time', 'delay_work']"
342,ok i'm out can you call about 1200 pm my cell doesn't work good home home number is phonenumber1 thank you name1,"['schedule_call_day_n_time', 'info_for_someone_else']"
343,we have decided not to pursue home security or automation at this time please remove us from your list,"['future_interest', 'dnc']"
344,how about now i'd like to know what promos are available and any other offers you can make for me to proceed,"['promo_info', 'call_now']"
345,no that is not what i said and you know it now don't text or call me any more i have decided not to do business with you or your company,"['misunderstood', 'dnc', 'not_interested']"
346,i've just renewed contract with organization1 for another year after getting a big discount so won't need another service until next summer thanks,"['future_interest', 'chose_competitor']"
347,i have no interest don't know how you got my information don't want to system i already told you stop take me off the list,"['dnc', 'not_interested']"
348,hi name1 i have adt coming out to my house on the 23rd to see about customizing a plan and to check the house out for free free consultation no fee to come out if you can give me the same offer i will be more likely to incline to see if what you guys have to offer will fit my family and home,"['cost_demand', 'greeting', 'chose_competitor']"
349,i'm sorry but once again you have the wrong phone number please remove my number from your list there is no name1 at this number,"['wrong_number', 'apology']"
350,i'm currently looking into other vendors that may ha e better offering looking to pay for only monitoring money1 per month not willing to pay for equipment,"['cost_demand', 'delay_evaluating']"
351,my apologies i have already spoken with someone about the prices and details of everything and decided to go with someone else but i appreciate your service,"['courtesy_or_statement', 'transfer_success', 'apology', 'chose_competitor']"
352,well if you can give the military discount on top of the discount that is online then i would have purchases it i believe the door bell one was money1 online and the military discount was money2 off making it money3 if you can not combine then i am not interested,"['promo_info', 'specific_equipment_cost']"
353,i have already spoken with a representative and gave him all the information needed but the monthly fee was more than i would like to pay money1+,"['transfer_success', 'cost_too_high']"
354,all the equipment is already installedso there will be no installation or monthly payments for equipment,"['cost_demand', 'existing_system']"
355,i'd love too but two thingsy'all want me to pay up front the equipment and i still have 14 months with homepro unfortunately,"['needs_income', 'is_interested', 'in_contract']"
356,i'm going with a organization1 system please stop texting and calling if it doesn't work out i will be in touch thank you,"['dnc', 'delay_conditional', 'chose_competitor']"
357,i was going to go with you guys i spoke with someone the other day bc my wife and i had received a quote unfortunately your price was too high so we are going to go with adt instead,"['transfer_success', 'cost_too_high', 'chose_competitor']"
358,i can talk to you after 400 i heard you were the same company adt quoted one price and it ended being three times more,"['cost_demand', 'schedule_call_day_n_time']"
359,am i interested yes but as i explained to another of your reps my wife is in the final stage of dying of brain cancer i will call as soon as i see my way clear of this horrible loss thank you name1,"['future_interest', 'delay_family_sick', 'is_interested']"
360,hi name1 occupation1 if you can privide me a quote of money1 or lesser with free installation i will consider the option today i am fully occupied but we can discuss tomorrow close to end of day ,"['cost_demand', 'schedule_call_day_n_time', 'greeting']"
361,no the first guy i talked quoted 7499 a month the next guy with same equipment was 9499 inflation doesn't happen that fast,"['negation', 'transfer_success', 'cost_too_high']"
362,could we chat on coming monday to discuss on the options i have already purchased few hardware and was wondering whether you support the hardware owned by the owner,"['schedule_call_day_n_time', 'equipment_compatible']"
363,please stop calling + texting me if i'm interested i will call again i didn't know calling + getting a quote meant i'd be harassed by your company daily,"['future_interest', 'dnc']"
364,right now i have a home system currently installed i'd like to get another camera installed for a back patio area and i was wondering on prices for 24 hour monitoring service,"['existing_system', 'specific_equipment_cost', 'what_does_it_cost']"
365,good afternoon thank you for your correspondence we are no longer in need for this service thank you,"['courtesy_or_statement', 'greeting', 'not_interested']"
366,still weighing my options with my wife what offers do you have for me besides free installation and a free thermostat,"['promo_info', 'delay_evaluating']"
367,hi name1 i am no longer interested as i've purchased from someone else please take me off the contact list thank you,"['dnc', 'greeting', 'not_interested']"
368,not intrested i found a company already and system is installed already so please stop calling and messaging me take me of your calling list,"['dnc', 'not_interested', 'has_product']"
369,well i don't have the cash to pay for it up front like that right now with me moving in to new house i was going to use my mom co sign to get it financed,"['delay_new_house', 'delay_finances']"
370,i told the representative that i cannot move forward until i close on my new home you can give me a call back next friday,"['schedule_call_day_n_time', 'transfer_success', 'delay_new_house']"
371,what are your monthly costs i thought your company seemed pretty high i was looking to stay in the 25 dollars a month range,"['cost_demand', 'what_does_it_cost']"
372,i am i work 12 hour night shifts and i am on stretch if you don't mind calling me tomorrow morning,"['confirmation', 'schedule_call_day_n_time']"
373,i am sorry to inform you that you are sending messages to the wrong person and phone number for name1 i have no knowledge of who that isplease check for the correct number in the future thank you,"['courtesy_or_statement', 'wrong_number']"
374,name1 there is no name2 here you have the wrong number i want name3 and you to stop call and texting,"['dnc', 'wrong_number']"
375,i went with another system thank you for your follow up but i'm not looking anymore please take me off your list,"['dnc', 'chose_competitor']"
376,i really don't think i can afford it i just wanted to know how much so i can think about it for the future i'm in a rental so i don't plan on being here any longer than one more year,"['future_interest', 'needs_income']"
377,looking for inside window and door security can be accomplished with window or door sensors andor motion detectors approximately 4 motion detectors no cameras inside the house but will have cameras outside the house 4,"['specific_equipment_cost', 'is_interested', 'home_specifications']"
378,hi not ready as to the house appraised lower than my offer things up in the air and i have chosen to go with a different company as well thank you,"['greeting', 'chose_competitor']"
379,i'm at work right now i can only text how much would it be for just be door bell camera ans 2 additional cameras,"['specific_equipment_cost', 'delay_work']"
380,can you send me an email with the prices you manage please and thank you i can not talk on my phone since the speaker does not work properly,"['text_only', 'send_info', 'what_does_it_cost']"
381,sorry but i don't have a system at all in our house your colleague went through the cost with me on the phone and i'm not interested unless you can go under money1 a month for door sensors and 2 cameras thanks,"['transfer_success', 'cost_too_high']"
382,we decided to go a different way vivent seemed a little too expensive for what we wanted thanks ☺️ have a good day,"['cost_too_high', 'chose_competitor']"
383,maybe this afternoon i just needed basic alarm so if someone broke in my house alarm would go off i have an existing hi tech system in place that adt installed it's got sensors on every window and motion detectors and a so i just need a monthly rate for a basic alarm system so if door or windows are broken a loud siren goes off,"['schedule_call_day_n_time', 'specific_equipment_cost', 'equipment_compatible']"
384,nevermind you're not even taking the time to speak to me individuallyyou're sending me a pretyped message please quit contacting me and put in the notes to quit calling me also,"['dnc', 'not_interested']"
385,hi i'm sorry i have been so lately and i just wanted to let you know that my husband and i spoke and we are not going to be able to go with your services because the price is a little too high for us thank you,"['greeting', 'cost_too_high', 'apology']"
386,i just answered i'm not interested at the moment thank you again for the 4th time please don't call anymore,"['future_interest', 'dnc']"
387,i feel the number of phone calls and texts that i have received is extremely excessive i will not be using your company for this reason thanks,"['courtesy_or_statement', 'not_interested', 'excessive_contact']"
388,i talked to name1 earlier he quoted me 9000 for monthly two cameras outside and two inside with key pad but i'm still under contract with adt give me a call within next 10 minutes if your able if not i'll text you when i'm available,"['delay_will_reply', 'transfer_success', 'call_now', 'in_contract']"
389,i tried talking to one of your people and they hung up on me so therefore i have gone with another company,"['negative_call_center_experience', 'chose_competitor']"
390,thanks for calling you've reached name1 voicemail i'm not able to answer but can i help you via text instead,"['courtesy_or_statement', 'text_only']"
391,could you please email me the invent voucher broke and having no money for christmas sucks could we install it for free untill the first months bill,"['cost_demand', 'send_info', 'free_install']"
392,not interested never expressed interest already have home security system remove my number from your list please,"['dnc', 'not_interested', 'has_product']"
393,we were ready to sign last week but you guys couldn't get us on a monthly payment plan it's a no go unless that can happen,"['about_contract', 'is_interested']"
